"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"71","AMHARA","Debre-¦","July","2018","39.52890047","9.67650294","8.00","-"
"72","AMHARA","Chuahit","March","2019","39.311961","10.643157","7.00","-"
"73","AMHARA","Gondar","March","2019","37.46149667","12.59878688","8.00","-"
"74","AMHARA","Esete","March","2019","37.88657423","10.92298692","8.26","-"
"75","AMHARA","Debre- Tabor ","March","2019","38.00833967","11.84769551","8.02","-"
"76","AMHARA","Kobo","March","2019","39.63127424","12.16406542","8.12","-"
"77","AMHARA","Weldiya","March","2019","39.6014117","11.82360232","10.46","-"
"78","AMHARA","Kombolcha","March","2019","39.73724188","11.07807805","9.29","-"
"79","AMHARA","Dessie","March","2019","39.63548793","11.11703902","9.54","-"
"80","AMHARA","Shewa- Robit ","March","2019","39.90269733","10.00580856","9.92","-"
"81","AMHARA","Debre-¦","March","2019","39.52890047","9.67650294","8.00","-"
"82","AMHARA","Chuahit","May","2019","39.311961","10.643157","8.25","-"
"83","AMHARA","Gondar","May","2019","37.46149667","12.59878688","9.00","-"
"84","AMHARA","Esete","May","2019","37.88657423","10.92298692","10.19","-"
"85","AMHARA","Debre- Tabor ","May","2019","38.00833967","11.84769551","9.57","-"
"86","AMHARA","Kobo","May","2019","39.63127424","12.16406542","10.36","-"
"87","AMHARA","Weldiya","May","2019","39.6014117","11.82360232","11.29","-"
"88","AMHARA","Kombolcha","May","2019","39.73724188","11.07807805","10.66","-"
"89","AMHARA","Dessie","May","2019","39.63548793","11.11703902","9.55","-"
"90","AMHARA","Shewa- Robit ","May","2019","39.90269733","10.00580856","11.47","-"
"91","AMHARA","Debre-¦","May","2019","39.52890047","9.67650294","9.00","-"
"92","AMHARA","Chuahit","November","2018","39.311961","10.643157","-","-"
"93","AMHARA","Gondar","November","2018","37.46149667","12.59878688","8.00","-"
"94","AMHARA","Esete","November","2018","37.88657423","10.92298692","8.50","-"
"95","AMHARA","Debre- Tabor ","November","2018","38.00833967","11.84769551","8.39","-"
"96","AMHARA","Kobo","November","2018","39.63127424","12.16406542","7.70","-"
"97","AMHARA","Weldiya","November","2018","39.6014117","11.82360232","9.16","-"
"98","AMHARA","Kombolcha","November","2018","39.73724188","11.07807805","9.30","-"
"99","AMHARA","Dessie","November","2018","39.63548793","11.11703902","8.21","-"
"100","AMHARA","Shewa- Robit ","November","2018","39.90269733","10.00580856","9.30","-"
"101","AMHARA","Debre-¦","November","2018","39.52890047","9.67650294","7.00","-"
"102","AMHARA","Chuahit","October","2018","39.311961","10.643157","8.00","-"
"103","AMHARA","Gondar","October","2018","37.46149667","12.59878688","8.00","-"
"104","AMHARA","Esete","October","2018","37.88657423","10.92298692","8.40","-"
"105","AMHARA","Debre- Tabor ","October","2018","38.00833967","11.84769551","8.73","-"
"106","AMHARA","Kobo","October","2018","39.63127424","12.16406542","8.22","-"
"107","AMHARA","Weldiya","October","2018","39.6014117","11.82360232","9.87","-"
"108","AMHARA","Kombolcha","October","2018","39.73724188","11.07807805","9.17","-"
"109","AMHARA","Dessie","October","2018","39.63548793","11.11703902","8.05","-"
"110","AMHARA","Shewa- Robit ","October","2018","39.90269733","10.00580856","8.68","-"
"111","AMHARA","Debre-¦","October","2018","39.52890047","9.67650294","8.00","-"
"112","AMHARA","Chuahit","September","2018","39.311961","10.643157","7.75","-"
"113","AMHARA","Gondar","September","2018","37.46149667","12.59878688","7.75","-"
"114","AMHARA","Esete","September","2018","37.88657423","10.92298692","10.07","-"
"115","AMHARA","Debre- Tabor ","September","2018","38.00833967","11.84769551","8.19","-"
"116","AMHARA","Kobo","September","2018","39.63127424","12.16406542","8.10","-"
"117","AMHARA","Weldiya","September","2018","39.6014117","11.82360232","9.83","-"
"118","AMHARA","Kombolcha","September","2018","39.73724188","11.07807805","9.20","-"
"119","AMHARA","Dessie","September","2018","39.63548793","11.11703902","8.54","-"
"120","AMHARA","Shewa- Robit ","September","2018","39.90269733","10.00580856","9.26","-"
"121","AMHARA","Debre-¦","September","2018","39.52890047","9.67650294","8.50","-"
"122","AMHARa","Mota","April","2019","37.8807432","11.07475582","7.50","-"
"123","AMHARa","Debre- markos ","April","2019","37.72636868","10.33641293","8.55","-"
"124","AMHARa","Dembecha","April","2019","37.48251554","10.56669266","7.29","-"
"125","AMHARa","Bahir- Dar ","April","2019","37.3815488","11.58416449","8.75","-"
"126","AMHARa","Sekota","April","2019","39.03355257","12.62479803","10.32","-"
"127","AMHARa","Amde Work ","April","2019","38.85815043","12.45920199","9.84","-"
"128","AMHARa","Danigla","April","2019","36.83153176","11.25223153","7.30","-"
"129","AMHARa","Chagni","April","2019","36.50793596","10.95196565","7.50","-"
"130","AMHARa","Kemise","April","2019","39.85696873","10.71374234","9.71","-"
"131","AMHARa","Bati","April","2019","40.0181327","11.19153266","9.94","-"
"132","AMHARa","Mota","August","2018","37.8807432","11.07475582","6.50","-"
"133","AMHARa","Debre- markos ","August","2018","37.72636868","10.33641293","8.00","-"
"134","AMHARa","Dembecha","August","2018","37.48251554","10.56669266","7.11","-"
"135","AMHARa","Bahir- Dar ","August","2018","37.3815488","11.58416449","10.95","-"
"136","AMHARa","Sekota","August","2018","39.03355257","12.62479803","8.87","-"
"137","AMHARa","Amde Work ","August","2018","38.85815043","12.45920199","10.88","-"
"138","AMHARa","Danigla","August","2018","36.83153176","11.25223153","7.00","-"
"139","AMHARa","Chagni","August","2018","36.50793596","10.95196565","6.50","-"
"140","AMHARa","Kemise","August","2018","39.85696873","10.71374234","6.81","-"
"141","AMHARa","Bati","August","2018","40.0181327","11.19153266","8.11","-"
"142","AMHARa","Mota","December","2018","37.8807432","11.07475582","6.50","-"
"143","AMHARa","Debre- markos ","December","2018","37.72636868","10.33641293","7.00","-"
"144","AMHARa","Dembecha","December","2018","37.48251554","10.56669266","7.51","-"
"145","AMHARa","Bahir- Dar ","December","2018","37.3815488","11.58416449","8.50","-"
"146","AMHARa","Sekota","December","2018","39.03355257","12.62479803","8.75","-"
"147","AMHARa","Amde Work ","December","2018","38.85815043","12.45920199","10.21","-"
"148","AMHARa","Danigla","December","2018","36.83153176","11.25223153","6.50","-"
"149","AMHARa","Chagni","December","2018","36.50793596","10.95196565","6.00","-"
"150","AMHARa","Kemise","December","2018","39.85696873","10.71374234","8.01","-"
"151","AMHARa","Bati","December","2018","40.0181327","11.19153266","8.24","-"
