"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"1","ADDIS","addis ababa","APRIL","2015","38.793806","9.023748","7",NA
"2","ADDIS","addis ababa","AUGUST","2014","38.793806","9.023748","7.495","9"
"3","ADDIS","addis ababa","DECEMBER","2014","38.793806","9.023748","7.41","9"
"4","ADDIS","addis ababa","FEBRUARY","2015","38.793806","9.023748","7.08","10"
"5","ADDIS","addis ababa","JANUARY","2015","38.793806","9.023748","7.56","11"
"6","ADDIS","addis ababa","JULY","2014","38.793806","9.023748","7.495","9"
"7","ADDIS","addis ababa","JUNE","2015","38.793806","9.023748","7.32",NA
"8","ADDIS","addis ababa","MARCH","2015","38.793806","9.023748","7.15","10"
"9","ADDIS","addis ababa","MAY","2015","38.793806","9.023748","7",NA
"10","ADDIS","addis ababa","NOVEMBER","2014","38.793806","9.023748","7.48","9"
"11","ADDIS","addis ababa","OCTOBER","2014","38.793806","9.023748","7.74","9"
"12","ADDIS","addis ababa","SEPTEMBER","2014","38.793806","9.023748","7.74","8.83"
"13","AMHARA","Chuahit","APRIL","2015","39.311961","10.643157","4.50","-"
"14","AMHARA","Gondar","APRIL","2015","37.46149667","12.59878688","5.00","-"
"15","AMHARA","Esete","APRIL","2015","37.88657423","10.92298692","5.79","-"
"16","AMHARA","Debre- Tabor ","APRIL","2015","38.00833967","11.84769551","5.14","-"
"17","AMHARA","Kobo","APRIL","2015","39.63127424","12.16406542","4.61","-"
"18","AMHARA","Weldiya","APRIL","2015","39.6014117","11.82360232","5.60","-"
"19","AMHARA","Kombolcha","APRIL","2015","39.73724188","11.07807805","5.21","-"
"20","AMHARA","Dessie","APRIL","2015","39.63548793","11.11703902","5.78","16.00"
"21","AMHARA","Shewa- Robit ","APRIL","2015","39.90269733","10.00580856","5.28","-"
"22","AMHARA","Debre-¦","APRIL","2015","39.52890047","9.67650294","5.00","-"
"23","AMHARA","Chuahit","AUGUST","2014","39.311961","10.643157","5.50","-"
"24","AMHARA","Gondar","AUGUST","2014","37.46149667","12.59878688","6.00","-"
"25","AMHARA","Esete","AUGUST","2014","37.88657423","10.92298692","6.44","-"
"26","AMHARA","Debre- Tabor ","AUGUST","2014","38.00833967","11.84769551","6.21","-"
"27","AMHARA","Kobo","AUGUST","2014","39.63127424","12.16406542","6.04","-"
"28","AMHARA","Weldiya","AUGUST","2014","39.6014117","11.82360232","7.20","-"
"29","AMHARA","Kombolcha","AUGUST","2014","39.73724188","11.07807805","6.38","-"
"30","AMHARA","Dessie","AUGUST","2014","39.63548793","11.11703902","6.37","-"
"31","AMHARA","Shewa- Robit ","AUGUST","2014","39.90269733","10.00580856","6.15","-"
"32","AMHARA","Debre-¦","AUGUST","2014","39.52890047","9.67650294","6.00","-"
"33","AMHARA","Chuahit","DECEMBER","2014","39.311961","10.643157","4.20","-"
"34","AMHARA","Gondar","DECEMBER","2014","37.46149667","12.59878688","5.00","-"
"35","AMHARA","Esete","DECEMBER","2014","37.88657423","10.92298692","5.88","-"
"36","AMHARA","Debre- Tabor ","DECEMBER","2014","38.00833967","11.84769551","5.73","-"
"37","AMHARA","Kobo","DECEMBER","2014","39.63127424","12.16406542","3.67","-"
"38","AMHARA","Weldiya","DECEMBER","2014","39.6014117","11.82360232","6.40","-"
"39","AMHARA","Kombolcha","DECEMBER","2014","39.73724188","11.07807805","6.16","-"
"40","AMHARA","Dessie","DECEMBER","2014","39.63548793","11.11703902","5.95","10.00"
"41","AMHARA","Shewa- Robit ","DECEMBER","2014","39.90269733","10.00580856","4.50","-"
"42","AMHARA","Debre-¦","DECEMBER","2014","39.52890047","9.67650294","5.00","-"
"43","AMHARA","Chuahit","FEBRUARY","2015","39.311961","10.643157","4.50","-"
"44","AMHARA","Gondar","FEBRUARY","2015","37.46149667","12.59878688","5.00","-"
"45","AMHARA","Esete","FEBRUARY","2015","37.88657423","10.92298692","5.92","-"
"46","AMHARA","Debre- Tabor ","FEBRUARY","2015","38.00833967","11.84769551","5.15","-"
"47","AMHARA","Kobo","FEBRUARY","2015","39.63127424","12.16406542","3.98","-"
"48","AMHARA","Weldiya","FEBRUARY","2015","39.6014117","11.82360232","6.40","-"
"49","AMHARA","Kombolcha","FEBRUARY","2015","39.73724188","11.07807805","-","-"
"50","AMHARA","Dessie","FEBRUARY","2015","39.63548793","11.11703902","5.86","-"
"51","AMHARA","Shewa- Robit ","FEBRUARY","2015","39.90269733","10.00580856","5.19","-"
"52","AMHARA","Debre-¦","FEBRUARY","2015","39.52890047","9.67650294","5.00","-"
"53","AMHARA","Chuahit","JANUARY","2015","39.311961","10.643157","4.28","-"
"54","AMHARA","Gondar","JANUARY","2015","37.46149667","12.59878688","5.00","-"
"55","AMHARA","Esete","JANUARY","2015","37.88657423","10.92298692","5.62","-"
"56","AMHARA","Debre- Tabor ","JANUARY","2015","38.00833967","11.84769551","5.37","-"
"57","AMHARA","Kobo","JANUARY","2015","39.63127424","12.16406542","4.38","-"
"58","AMHARA","Weldiya","JANUARY","2015","39.6014117","11.82360232","5.60","-"
"59","AMHARA","Kombolcha","JANUARY","2015","39.73724188","11.07807805","5.85","-"
"60","AMHARA","Dessie","JANUARY","2015","39.63548793","11.11703902","5.97","-"
"61","AMHARA","Shewa- Robit ","JANUARY","2015","39.90269733","10.00580856","5.17","-"
"62","AMHARA","Debre-¦","JANUARY","2015","39.52890047","9.67650294","5.00","-"
"63","AMHARA","Chuahit","JULY","2014","39.311961","10.643157","6.00","-"
"64","AMHARA","Gondar","JULY","2014","37.46149667","12.59878688","6.00","-"
"65","AMHARA","Esete","JULY","2014","37.88657423","10.92298692","6.49","-"
"66","AMHARA","Debre- Tabor ","JULY","2014","38.00833967","11.84769551","6.28","-"
"67","AMHARA","Kobo","JULY","2014","39.63127424","12.16406542","6.23","-"
"68","AMHARA","Weldiya","JULY","2014","39.6014117","11.82360232","6.80","-"
"69","AMHARA","Kombolcha","JULY","2014","39.73724188","11.07807805","5.82","-"
"70","AMHARA","Dessie","JULY","2014","39.63548793","11.11703902","5.98","16.00"
"71","AMHARA","Shewa- Robit ","JULY","2014","39.90269733","10.00580856","6.72","-"
"72","AMHARA","Debre-¦","JULY","2014","39.52890047","9.67650294","6.50","-"
"73","AMHARA","Chuahit","JUNE","2015","39.311961","10.643157","4.50","-"
"74","AMHARA","Gondar","JUNE","2015","37.46149667","12.59878688","5.00","-"
"75","AMHARA","Esete","JUNE","2015","37.88657423","10.92298692","5.69","-"
"76","AMHARA","Debre- Tabor ","JUNE","2015","38.00833967","11.84769551","5.19","-"
"77","AMHARA","Kobo","JUNE","2015","39.63127424","12.16406542","5.17","-"
"78","AMHARA","Weldiya","JUNE","2015","39.6014117","11.82360232","5.63","-"
"79","AMHARA","Kombolcha","JUNE","2015","39.73724188","11.07807805","5.84","-"
"80","AMHARA","Dessie","JUNE","2015","39.63548793","11.11703902","5.53","-"
"81","AMHARA","Shewa- Robit ","JUNE","2015","39.90269733","10.00580856","5.91","-"
"82","AMHARA","Debre-¦","JUNE","2015","39.52890047","9.67650294","6.00","-"
"83","AMHARA","Chuahit","MARCH","2015","39.311961","10.643157","4.67","-"
"84","AMHARA","Gondar","MARCH","2015","37.46149667","12.59878688","5.00","-"
"85","AMHARA","Esete","MARCH","2015","37.88657423","10.92298692","5.72","-"
"86","AMHARA","Debre- Tabor ","MARCH","2015","38.00833967","11.84769551","5.15","-"
"87","AMHARA","Kobo","MARCH","2015","39.63127424","12.16406542","4.24","-"
"88","AMHARA","Weldiya","MARCH","2015","39.6014117","11.82360232","5.65","-"
"89","AMHARA","Kombolcha","MARCH","2015","39.73724188","11.07807805","-","-"
"90","AMHARA","Dessie","MARCH","2015","39.63548793","11.11703902","5.85","-"
"91","AMHARA","Shewa- Robit ","MARCH","2015","39.90269733","10.00580856","5.30","-"
