"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"1","ADDIS","addis ababa","April","2018","38.793806","9.023748","10.475","14"
"2","ADDIS","addis ababa","August","2017","38.793806","9.023748","10.72","12"
"3","ADDIS","addis ababa","December","2017","38.793806","9.023748","12","14"
"4","ADDIS","addis ababa","February","2018","38.793806","9.023748","10.72","15"
"5","ADDIS","addis ababa","January","2018","38.793806","9.023748","10.945","13.5"
"6","ADDIS","addis ababa","July","2017","38.793806","9.023748","10",NA
"7","ADDIS","addis ababa","June","2018","38.793806","9.023748","11","14.49"
"8","ADDIS","addis ababa","March","2018","38.793806","9.023748","11.455","15"
"9","ADDIS","addis ababa","May","2018","38.793806","9.023748","10.945","14"
"10","ADDIS","addis ababa","November","2017","38.793806","9.023748","13.245","14"
"11","ADDIS","addis ababa","October","2017","38.793806","9.023748","12.49","14"
"12","ADDIS","addis ababa","September","2017","38.793806","9.023748","12.49","14"
"13","AMHARA","Chuahit","April","2018","39.311961","10.643157","7.00","-"
"14","AMHARA","Gondar","April","2018","37.46149667","12.59878688","9.00","-"
"15","AMHARA","Esete","April","2018","37.88657423","10.92298692","9.63","-"
"16","AMHARA","Debre- Tabor ","April","2018","38.00833967","11.84769551","8.35","-"
"17","AMHARA","Kobo","April","2018","39.63127424","12.16406542","6.70","-"
"18","AMHARA","Weldiya","April","2018","39.6014117","11.82360232","9.81","-"
"19","AMHARA","Kombolcha","April","2018","39.73724188","11.07807805","9.81","-"
"20","AMHARA","Dessie","April","2018","39.63548793","11.11703902","7.20","-"
"21","AMHARA","Shewa- Robit ","April","2018","39.90269733","10.00580856","8.66","-"
"22","AMHARA","Debre-¦","April","2018","39.52890047","9.67650294","7.50","-"
"23","AMHARA","Chuahit","August","2017","39.311961","10.643157","8.00","-"
"24","AMHARA","Gondar","August","2017","37.46149667","12.59878688","9.00","-"
"25","AMHARA","Esete","August","2017","37.88657423","10.92298692","9.65","-"
"26","AMHARA","Debre- Tabor ","August","2017","38.00833967","11.84769551","10.22","-"
"27","AMHARA","Kobo","August","2017","39.63127424","12.16406542","8.10","-"
"28","AMHARA","Weldiya","August","2017","39.6014117","11.82360232","9.83","-"
"29","AMHARA","Kombolcha","August","2017","39.73724188","11.07807805","8.50","-"
"30","AMHARA","Dessie","August","2017","39.63548793","11.11703902","-","-"
"31","AMHARA","Shewa- Robit ","August","2017","39.90269733","10.00580856","9.75","-"
"32","AMHARA","Debre-¦","August","2017","39.52890047","9.67650294","9.00","-"
"33","AMHARA","Chuahit","December","2017","39.311961","10.643157","5.50","-"
"34","AMHARA","Gondar","December","2017","37.46149667","12.59878688","7.00","-"
"35","AMHARA","Esete","December","2017","37.88657423","10.92298692","8.33","-"
"36","AMHARA","Debre- Tabor ","December","2017","38.00833967","11.84769551","9.69","-"
"37","AMHARA","Kobo","December","2017","39.63127424","12.16406542","6.45","-"
"38","AMHARA","Weldiya","December","2017","39.6014117","11.82360232","9.79","-"
"39","AMHARA","Kombolcha","December","2017","39.73724188","11.07807805","5.50","-"
"40","AMHARA","Dessie","December","2017","39.63548793","11.11703902","8.00","-"
"41","AMHARA","Shewa- Robit ","December","2017","39.90269733","10.00580856","7.52","-"
"42","AMHARA","Debre-¦","December","2017","39.52890047","9.67650294","7.25","-"
"43","AMHARA","Chuahit","February","2018","39.311961","10.643157","6.50","-"
"44","AMHARA","Gondar","February","2018","37.46149667","12.59878688","7.50","-"
"45","AMHARA","Esete","February","2018","37.88657423","10.92298692","8.43","-"
"46","AMHARA","Debre- Tabor ","February","2018","38.00833967","11.84769551","7.49","-"
"47","AMHARA","Kobo","February","2018","39.63127424","12.16406542","6.76","-"
"48","AMHARA","Weldiya","February","2018","39.6014117","11.82360232","9.84","-"
"49","AMHARA","Kombolcha","February","2018","39.73724188","11.07807805","6.85","-"
"50","AMHARA","Dessie","February","2018","39.63548793","11.11703902","8.00","-"
"51","AMHARA","Shewa- Robit ","February","2018","39.90269733","10.00580856","7.28","-"
"52","AMHARA","Debre-¦","February","2018","39.52890047","9.67650294","7.50","-"
"53","AMHARA","Chuahit","January","2018","39.311961","10.643157","6.24","-"
"54","AMHARA","Gondar","January","2018","37.46149667","12.59878688","7.50","-"
"55","AMHARA","Esete","January","2018","37.88657423","10.92298692","8.22","-"
"56","AMHARA","Debre- Tabor ","January","2018","38.00833967","11.84769551","7.45","-"
"57","AMHARA","Kobo","January","2018","39.63127424","12.16406542","6.55","-"
"58","AMHARA","Weldiya","January","2018","39.6014117","11.82360232","9.83","-"
"59","AMHARA","Kombolcha","January","2018","39.73724188","11.07807805","6.24","-"
"60","AMHARA","Dessie","January","2018","39.63548793","11.11703902","8.25","-"
"61","AMHARA","Shewa- Robit ","January","2018","39.90269733","10.00580856","7.45","-"
