"Region","Market","Month","Year","Longitude","Latitude","barley_Hulled_Temez","barley_Malt","barley_milled_Mixed","barley_milled_White","barley_unmilled_Black","barley_unmilled_for_Beer","barley_unmilled_Mixed","barley_unmilled_White","barley_unmilled_Hulled","barley_unmilled_Hulled_Temez","maize_Milled","maize_Unmilled","wheat_Bread_Bakery","wheat_Malt","wheat_Porridge_bula","wheat_milled_Mixed","wheat_milled_White","wheat_milled_Emmer_Aja","wheat_unmilled_Black_Red","wheat_unmilled_Mixed","wheat_unmilled_White","wheat_unmilled_Emmer_shelled_Aja","wheat_unmilled_Emmer_unshelled"
"addis","addis ababa","january","2014","38.793806","9.023748",".","23.16",".",".","10","10.49","9.415","10.32","18.945",".","9.32","7.5","4.085","19.66",".",".",".",".","13.065",".","9.825",".","."
"addis","addis ababa","january","2015","38.793806","9.023748",".","27.385",".",".","12","12","10","12","30",".","11","7.56","4.225","24.26",".",".",".",".","13.83","12","12.365",".","."
"addis","addis ababa","january","2016","38.793806","9.023748",".","31.36",".",".","12.16","13","11","13","20",".",".","7.49","4.49","28.275",".",".",".",".","14",".","13",".","."
"addis","addis ababa","january","2017","38.793806","9.023748",".",".",".",".",".",".",".",".","20",".",".","7.98",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","january","2018","38.793806","9.023748","30","34.72",".",".","19.23","20","18.485","18.97",".",".","13.5","10.945","4.515","29.36",".",".","14","45.25","21",".","14",".","34.495"
"addis","addis ababa","january","2019","38.793806","9.023748","39","41.775",".",".","18.97","20","18.745","19.745",".",".","14","10.875","5.085","41.32",".",".",".","56.22","23.745",".","19.49","29","32.5"
"addis","addis ababa","february","2014","38.793806","9.023748",".","23.79",".",".","10","10.32","9","10","25",".","9","7.165","3.97","21.055",".",".",".",".","12.16",".","10",".","."
"addis","addis ababa","february","2015","38.793806","9.023748",".","26.86",".",".","11.41","12.16","10.5","12.32",".",".","10","7.08","4.24","22.925",".",".",".",".","14","9","12",".","."
"addis","addis ababa","february","2016","38.793806","9.023748",".","33.275",".",".","12.08","13","11","12.83","20",".",".","7.405","4.375","29.225",".",".",".",".","14",".","12.83",".","."
"addis","addis ababa","february","2017","38.793806","9.023748",".",".",".",".",".",".",".",".",".",".",".","7.905",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","february","2018","38.793806","9.023748","30","36.135",".",".","18.245","18.5","17.985","18.97",".",".","15","10.72","4.465","29.57",".",".","14","48.715","21.99",".","13.745",".","35"
"addis","addis ababa","february","2019","38.793806","9.023748","35","43.495",".",".","18.97","19.485","17.985","19.485",".",".","15","11","5.425","47.17",".",".",".","54.77","23.735",".","18.97",".","35"
"addis","addis ababa","march","2015","38.793806","9.023748",".","28",".",".","11.33","12.32","10.32","12.16",".",".","10","7.15","4.29","21.605",".",".",".",".","14","10.5","11.915",".","."
"addis","addis ababa","march","2016","38.793806","9.023748",".","30.3",".",".","12","12.32","10","12.83","16",".",".","7.08","4.48","27.96",".",".",".",".","14.15",".","12.66",".","."
"addis","addis ababa","march","2017","38.793806","9.023748",".",".",".",".",".",".",".",".","25",".",".","7.74",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","march","2018","38.793806","9.023748","37.5","33.78",".",".","17.745","16.97","17.73","18.19",".",".","15","11.455","4.59","30.185","50",".","12.96","49.495","20.98",".","14.49",".","35"
"addis","addis ababa","march","2019","38.793806","9.023748","35","40.67",".",".","18.245","18.5","17","19.5",".",".","15","10.5","6.58","46.01","65",".","19","60","23.49",".","19.5",".","35"
"addis","addis ababa","april","2014","38.793806","9.023748",".","23.53",".",".","10.08","10.5","10","10.66","23.5",".","9","7.32","4.14","20.19",".",".",".",".","11.83","10","10.32",".","."
"addis","addis ababa","april","2016","38.793806","9.023748",".","32.375",".",".","12","13","10.825","13","21.5",".",".","7.245","4.445","28.9",".",".",".",".","14.165",".","12.83",".","."
"addis","addis ababa","april","2017","38.793806","9.023748","35","25.595",".",".","12.875","13.745","11.49","13.49",".",".","70","8.245","4.34","23.96",".",".",".","40","14",".","12",".","35"
"addis","addis ababa","april","2018","38.793806","9.023748","35","37.38",".",".","17.745","18","17","18.245",".",".","14","10.475","4.53","35.12",".",".",".","49.495","20",".","15.49",".","33.47"
"addis","addis ababa","april","2019","38.793806","9.023748","35.5","43.775",".",".","18.22","19.5","17","20",".",".",".","12","5.88","42.47",".",".",".","57.5","23.745",".","20","27","31.2"
"addis","addis ababa","may","2014","38.793806","9.023748",".","22.95",".",".","10","11","9.83","10.49","16",".","9","7.24","4.135","21.04",".",".",".",".","12","12","10.66",".","."
"addis","addis ababa","may","2015","38.793806","9.023748",".","30.6",".",".","12","12.66","12","12.475","20",".",".","7","4.325","25.925",".",".",".",".","13.83",".","12",".","."
"addis","addis ababa","may","2016","38.793806","9.023748",".","31.29",".",".","12.49","12.985","11.16","13","25",".",".","7.32","4.48","32.115",".",".",".",".","14",".","12.66",".","."
"addis","addis ababa","may","2017","38.793806","9.023748","37.5","29.21",".",".","13.745","14.62","13.25","14",".",".",".","9","4.62","27.7","50",".",".","40.495","14.245",".","12.245",".","34.495"
"addis","addis ababa","may","2018","38.793806","9.023748","30","40.395",".",".","18.44","18.49","18.5","18.965",".",".","14","10.945","5.065","36.33",".",".",".","51.96","19.745",".","16.245",".","32.4"
"addis","addis ababa","may","2019","38.793806","9.023748","40","45.46",".",".","18.485","20","17.7","20",".",".","15","11.745","5.91","46.625",".",".",".","54.77","22.945",".","20","38.99","32.5"
"addis","addis ababa","june","2014","38.793806","9.023748",".","22.75",".",".","10.49","11.66","10","11.24",".",".","8.66","7.49","4.195","20.9",".",".",".",".","12",".","11.145",".","."
"addis","addis ababa","june","2015","38.793806","9.023748",".","30.83",".",".","12","12.745","10.16","13","20",".",".","7.32","4.4","28.415",".",".",".",".","14",".","12.32",".","."
"addis","addis ababa","june","2016","38.793806","9.023748",".","32.06",".",".","12.24","13","12","13.485",".",".",".","7.32","4.485","28.69",".",".",".",".","14",".","12.66",".","."
"addis","addis ababa","june","2017","38.793806","9.023748","37.5","29.21",".",".","13.745","14.62","13.25","14",".",".",".","9","4.62","27.7","50",".",".","40.495","14.245",".","12.245",".","34.495"
"addis","addis ababa","june","2018","38.793806","9.023748","40","35.28",".",".","18.245","18","17.985","18.97",".",".","14.49","11","5.355","36.68","50",".",".","50.98","20",".","17.49",".","35"
"addis","addis ababa","july","2013","38.793806","9.023748",".","18.4",".",".","8.915","10","8.33","9.905","18.97",".","9","7.33","4.035","16.59",".",".",".",".","11.49",".","9.275",".","."
"addis","addis ababa","july","2014","38.793806","9.023748",".","22.4",".",".","11","12","10.16","12","18.97",".","9","7.495","4.25","22.14",".",".",".",".","12.24",".","11.66",".","."
"addis","addis ababa","july","2015","38.793806","9.023748",".","31.25",".",".","12","13","11.49","13","20",".",".","7.24","4.455","30.39",".",".",".",".","13.83",".","12.49",".","."
"addis","addis ababa","july","2016","38.793806","9.023748",".",".",".",".",".",".",".",".",".",".",".","7.575",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","july","2017","38.793806","9.023748","40","28.84",".",".","15.745","15.245","15","15.745",".",".",".","10","4.46","28.17",".",".",".","43.575","14.245",".","13",".","36.47"
"addis","addis ababa","july","2018","38.793806","9.023748","37.5","39.025",".",".","18","20","20","20",".",".","14.49","11.245","5.92","38.2",".",".","18","51.96","20",".","18",".","35"
"addis","addis ababa","august","2013","38.793806","9.023748",".","20.12",".",".","8.915","10.24","8.33","10","18.5",".","9","7.5","3.99","20",".",".",".",".","11.49",".","9.33",".","."
"addis","addis ababa","august","2014","38.793806","9.023748",".","26.61",".",".","10.66","12","10","11.83",".",".","9","7.495","4.35","24.8",".",".",".",".","12",".","11.915",".","."
"addis","addis ababa","august","2015","38.793806","9.023748",".","30.805",".",".","12","13","11.295","13","21.5",".",".","7.32","4.505","31.49",".",".",".",".","13.915",".","12.745",".","."
"addis","addis ababa","august","2016","38.793806","9.023748",".",".",".",".",".",".",".",".",".",".",".","7.74",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","august","2017","38.793806","9.023748",".","28.25",".",".","16.49","16","15","17",".",".","12","10.72","4.58","26.26",".",".","13","45.99","14.49",".","13",".","37.42"
"addis","addis ababa","august","2018","38.793806","9.023748","40","40.57",".",".","18.73","20","20","20",".",".","14","11","5.975","40.32",".",".",".","54.77","22.245",".","18.375",".","35"
"addis","addis ababa","september","2013","38.793806","9.023748",".","19.275",".",".","9","10","8.75","10","19.31",".","9.83","8.24","4.045","18.995",".",".",".",".","11.745","9","9.745",".","."
"addis","addis ababa","september","2014","38.793806","9.023748",".","28.57",".",".","12","12.32","11.49","12","21.91",".","8.83","7.74","4.2","28.39",".",".",".",".","12.985",".","12",".","."
"addis","addis ababa","september","2015","38.793806","9.023748",".","32.505",".",".","12.075","13","11.29","13.165","18.97",".",".","7.49","4.48","32.615",".",".",".",".","14",".","12.745",".","."
"addis","addis ababa","september","2016","38.793806","9.023748",".",".",".",".",".",".",".",".","22.5",".",".","8",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","september","2017","38.793806","9.023748","37.5","29.23",".",".","17.49","17.49","17.49","18",".",".","14","12.49","4.565","30.45","50",".","14","45.25","14.985",".","13.725",".","34.495"
"addis","addis ababa","september","2018","38.793806","9.023748","40","50.16",".",".","18.985","20","17.485","19.23",".",".",".","10.99","6.51","49.75","55",".",".","54.77","20.49",".","18.985",".","32.99"
"addis","addis ababa","october","2013","38.793806","9.023748",".","19.77",".",".","9.57","10","8.915","10.08","18.97",".","10","9.36","4.08","18.095",".",".",".",".","12","10","10.16",".","."
"addis","addis ababa","october","2014","38.793806","9.023748",".","29.99",".",".","12","12.49","11.32","12.49","25.325",".","9","7.74","4.275","27.64",".",".",".",".","12.985",".","12",".","."
"addis","addis ababa","october","2015","38.793806","9.023748",".","32.095",".",".","12","13","11.875","12.985","29",".",".","7.41","4.465","26.88",".",".",".",".","13.905",".","12.9",".","."
"addis","addis ababa","october","2016","38.793806","9.023748",".",".",".",".",".",".",".",".",".",".",".","8.57",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","october","2017","38.793806","9.023748","35","28.655",".",".","18.745","18","18","18",".",".","14","12.49","4.51","29.54",".",".","14","45","15",".","13.245",".","35"
"addis","addis ababa","october","2018","38.793806","9.023748","38.495","48.78",".",".","19.23","20","17.5","20",".",".","14","11","5.395","49.01",".",".",".","50.98","22.97",".","19.365",".","32.32"
"addis","addis ababa","november","2013","38.793806","9.023748",".","20.26",".",".","10","11","9.32","10.66","20",".","11","10","3.975","16.63",".",".",".",".","12.24","10","11",".","."
"addis","addis ababa","november","2014","38.793806","9.023748",".","23.6",".",".","12.49","12.575","11.5","12.815","30",".","9","7.48","4.425","24.955",".",".",".",".","13.075",".","12.08",".","."
"addis","addis ababa","november","2015","38.793806","9.023748",".","32",".",".","12.16","13","12","13","23.66",".",".","7.33","4.435","27.59",".",".",".",".","13.83","13","13",".","."
"addis","addis ababa","november","2016","38.793806","9.023748",".",".",".",".",".",".",".",".","20",".",".","8.465",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","november","2017","38.793806","9.023748","40","37.605",".",".","19.245","19.5","20","19.49",".",".","14","13.245","4.55","26.04",".",".","14","50","15.49",".","13.96",".","36.945"
"addis","addis ababa","november","2018","38.793806","9.023748","35","36.26",".",".","18.73","20","18","19.23",".",".","14.49","11.22","7.045","43.41",".",".",".","57.5","22.97",".","19.745",".","33.47"
"addis","addis ababa","december","2013","38.793806","9.023748",".","20.76",".",".","10","11","9.415","10.49",".",".","10","7.415","4.07","17.935",".",".",".",".","12.73",".","10.33",".","."
"addis","addis ababa","december","2014","38.793806","9.023748",".","28.665",".",".","12.32","12.49","11","12.23",".",".","9","7.41","4.305","23.555",".",".","14.6",".","13.745",".","12.16",".","."
"addis","addis ababa","december","2015","38.793806","9.023748",".","30.825",".",".","12.38","13","11","13.08","18",".",".","7.325","4.395","28.685",".",".",".",".","14",".","12.815",".","."
"addis","addis ababa","december","2016","38.793806","9.023748",".",".",".",".",".",".",".",".","25",".",".","8",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","december","2017","38.793806","9.023748","27.5","29.6",".",".","19.49","20","18.22","20",".",".","14","12","4.595","29.6","50",".","14","50","18",".","13.98",".","34.82"
"addis","addis ababa","december","2018","38.793806","9.023748","39","45.67",".",".","18.245","20","17","19.49",".",".","14","10.745","5.62","43.58","55",".","20","54.77","23",".","19.23",".","30"
"afar","asayieta","march","2019","41.44824","11.545835",".",".",".",".","13",".","15","18.97",".",".","10.49","7","9.21",".",".",".",".",".",".",".","15.49",".","38.99"
"afar","ayisaeta","january","2014","41.43333","11.56667",".",".",".",".","9.95","12",".","10.95",".",".","10.32","8.96","4.9",".",".",".",".",".","9.49",".","10.95",".","."
"afar","ayisaeta","january","2015","41.43333","11.56667",".",".",".",".","9",".",".","11",".",".","9","5.83","4.89",".",".",".",".",".","10",".","11",".","."
"afar","ayisaeta","january","2016","41.43333","11.56667",".",".",".",".","11",".",".","16",".",".","9.32","6.16","6",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","january","2017","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.66","5.83",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","january","2018","41.43333","11.56667",".",".",".",".","10",".",".","15.75",".",".","11","8","9.66",".",".",".",".",".",".",".","14.49",".","34.5"
"afar","ayisaeta","january","2019","41.43333","11.56667",".","40",".",".","11.49",".",".","18.97",".",".","12","6","10.14",".",".",".",".",".",".",".","15.49",".","."
"afar","ayisaeta","february","2014","41.43333","11.56667",".",".",".",".","9.49","12",".","10.49",".",".","10.66","9.32","4.57",".",".",".",".",".","10",".","11.49",".","."
"afar","ayisaeta","february","2015","41.43333","11.56667",".",".",".",".","9",".",".","10.66",".",".","9.49","5.16","4.96",".",".",".",".",".",".",".","10.66",".","."
"afar","ayisaeta","february","2016","41.43333","11.56667",".",".",".",".",".",".",".","14.25",".",".","9.65","6.32","5.92",".",".",".",".",".",".",".","14.49",".","."
"afar","ayisaeta","february","2017","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.66","6.32",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","february","2018","41.43333","11.56667",".",".",".",".","11",".",".","16.49",".",".","11","7.48",".",".",".",".",".",".",".",".","15",".","40"
"afar","ayisaeta","february","2019","41.43333","11.56667",".",".",".",".","15",".",".","18.97",".",".","11.49","6.48","9.52",".",".",".",".",".",".",".","14.49",".","37.42"
"afar","ayisaeta","march","2015","41.43333","11.56667",".",".",".",".","9",".",".","10.66",".",".","9.32","5.16","4.78",".",".",".",".",".","10",".",".",".","."
"afar","ayisaeta","march","2016","41.43333","11.56667",".",".",".",".",".",".",".","15.49",".",".","9.65","5.65","5.75",".",".",".",".",".",".",".","14",".","."
"afar","ayisaeta","march","2017","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".",".","6.32",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","march","2018","41.43333","11.56667",".","40",".",".","10",".",".","16.49",".",".","11","8.49","7.92",".",".",".",".",".",".",".","14.49",".","."
"afar","ayisaeta","april","2014","41.43333","11.56667",".",".",".",".","10",".",".","11",".",".","10.66","9","4.67",".",".",".",".",".",".",".","11",".","."
"afar","ayisaeta","april","2016","41.43333","11.56667",".",".",".",".",".",".",".","18.97",".",".","10.32","5","5.49",".",".",".",".",".",".",".","14.97",".","."
"afar","ayisaeta","april","2017","41.43333","11.56667",".",".",".",".",".",".",".","14.49",".",".","10.49","6","5.71",".",".",".",".",".",".",".","13.49","27.5","32.98"
"afar","ayisaeta","april","2018","41.43333","11.56667",".",".",".",".",".",".",".","17",".",".","11","6","8.01",".",".",".",".",".",".",".","14.49",".","40"
"afar","ayisaeta","april","2019","41.43333","11.56667",".",".",".",".",".","20",".",".",".",".","11","7.48","8.92",".",".",".",".",".",".",".","18",".","38.99"
"afar","ayisaeta","may","2014","41.43333","11.56667",".",".",".",".","9",".",".","11",".",".","10","9","4.57",".",".",".",".",".","11",".","11.49",".","."
"afar","ayisaeta","may","2015","41.43333","11.56667",".",".",".",".","9",".",".","11",".",".","8.65","5.33","5.39",".",".","9.65",".",".",".",".","10.32",".","."
"afar","ayisaeta","may","2016","41.43333","11.56667",".",".",".",".","15",".",".","19.31",".",".","9.65","5.16","5.75",".",".",".",".",".",".",".","16",".","."
"afar","ayisaeta","may","2017","41.43333","11.56667",".",".",".",".","10",".",".","17.25",".",".","10.49","5.74","5.83",".",".",".",".","32",".",".","13.49","26.98","."
"afar","ayisaeta","may","2018","41.43333","11.56667",".",".",".",".","11.49",".",".","17",".",".","10.49","6","8.49",".",".",".",".",".",".",".","14.49",".","30.98"
"afar","ayisaeta","may","2019","41.43333","11.56667",".",".",".",".","15.49",".",".","18.97",".",".","10","8","8.92",".",".",".",".",".","15.49",".","20",".","40"
"afar","ayisaeta","june","2014","41.43333","11.56667",".",".",".",".",".",".","10","11",".",".","11","9.65","4.68",".",".",".",".",".","10",".","12",".","."
"afar","ayisaeta","june","2015","41.43333","11.56667",".",".",".",".","9",".",".","10.66",".",".","9","6","5.41",".",".",".","10",".",".",".","8.49",".","."
"afar","ayisaeta","june","2016","41.43333","11.56667",".",".",".",".","15",".",".",".",".",".","9.65","5.16","5.71",".",".",".",".",".","15.49",".",".",".","."
"afar","ayisaeta","june","2017","41.43333","11.56667",".",".",".",".","10",".",".","17.25",".",".","10.49","5.74","5.83",".",".",".",".","32",".",".","13.49","26.98","."
"afar","ayisaeta","june","2018","41.43333","11.56667",".",".",".",".","12",".",".","15.49",".",".","11.49","6","7.96",".",".",".",".",".",".",".","14",".","32.98"
"afar","ayisaeta","july","2013","41.43333","11.56667",".","60",".",".",".",".",".","10.83",".",".","7.33","5.8","6.18",".",".",".",".",".",".",".","12",".","."
"afar","ayisaeta","july","2014","41.43333","11.56667",".",".",".",".","10",".",".","11",".",".","9.32","5.66","4.47",".",".",".",".",".","10",".","11",".","."
"afar","ayisaeta","july","2015","41.43333","11.56667",".",".",".","12",".",".","13","14",".",".","9.49","5.16","5.6",".",".","14",".",".",".","14",".",".","."
"afar","ayisaeta","july","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.32","5",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","july","2017","41.43333","11.56667",".",".",".",".","10",".",".","15.49",".",".",".","5.24","6.39",".",".",".",".",".",".",".","13.75",".","32"
"afar","ayisaeta","july","2018","41.43333","11.56667",".",".",".",".","12",".",".","17",".",".","11.49","6.48","9.86",".",".",".",".",".","14.49",".","15.49",".","33.47"
"afar","ayisaeta","august","2013","41.43333","11.56667",".",".",".",".",".",".",".","10.83",".",".","7","5.9","6",".",".",".",".",".",".",".","12",".","."
"afar","ayisaeta","august","2014","41.43333","11.56667",".",".",".",".","10",".",".","11",".",".","9.32","5.66","4.57",".",".",".",".",".","10",".","11",".","."
"afar","ayisaeta","august","2015","41.43333","11.56667",".",".",".",".",".",".",".","15.49",".",".","9.65","5.66","5.26",".",".",".",".",".",".",".","14.49",".","."
"afar","ayisaeta","august","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.66","5.16",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","august","2017","41.43333","11.56667",".",".",".",".","11",".",".","15.49",".",".","11","8","7.18",".",".",".",".",".",".",".","14.49",".","30"
"afar","ayisaeta","august","2018","41.43333","11.56667",".",".",".",".","14.49",".",".","18.97",".",".","10.95","8.94","9.15",".",".",".",".",".","14",".","18.97",".","38.99"
"afar","ayisaeta","september","2013","41.43333","11.56667",".",".",".",".",".",".",".","11",".",".","7","5.97","5.83",".",".",".",".",".",".",".","12",".","."
"afar","ayisaeta","september","2014","41.43333","11.56667",".",".",".",".","10",".",".","11.32",".",".","10","7.32","4.53",".",".",".",".",".","10",".","11.32",".","."
"afar","ayisaeta","september","2015","41.43333","11.56667",".",".",".",".","11",".",".","15.66",".",".","9.65","6","5.54",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","september","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.32","5",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","september","2017","41.43333","11.56667",".",".",".",".",".","17",".","17.49",".",".","11","7.48","8.01",".",".",".",".",".",".",".","15.49","32","."
"afar","ayisaeta","september","2018","41.43333","11.56667",".",".",".",".",".",".","15","20",".",".",".","7.48","8.54",".",".",".",".",".",".",".","18.97",".","38.99"
"afar","ayisaeta","october","2013","41.43333","11.56667",".",".",".",".",".",".",".","11.16",".",".","7.66","6",".",".",".",".",".",".",".",".","12",".","."
"afar","ayisaeta","october","2014","41.43333","11.56667",".",".",".",".","10",".",".","11",".",".",".","5.31","4.57",".",".",".",".",".","10",".","11",".","."
"afar","ayisaeta","october","2015","41.43333","11.56667",".",".",".",".",".",".",".","20",".",".","11","6.32","5.39",".",".",".",".",".",".",".","15",".","."
"afar","ayisaeta","october","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10","5.31",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","october","2017","41.43333","11.56667",".",".",".",".",".",".",".","15.49",".",".","11","8.49","8.49",".",".",".",".",".",".",".","13.75",".","30"
"afar","ayisaeta","october","2018","41.43333","11.56667",".",".",".",".","11.49",".",".","18",".",".","12","6.48","8.93",".",".",".",".",".",".",".","14.49",".","32.98"
"afar","ayisaeta","november","2013","41.43333","11.56667",".","60",".",".","9.49",".",".","10",".",".","9.28","7.96","4.68",".",".",".","10.95",".","10",".","11.49",".","."
"afar","ayisaeta","november","2014","41.43333","11.56667",".",".",".",".","9.49",".",".","11",".",".","8.32","5.65","5.68",".",".",".",".",".","10",".","12",".","."
"afar","ayisaeta","november","2015","41.43333","11.56667",".",".",".",".",".",".",".","16",".",".","10.32","6","5.47",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","november","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","11","6",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","november","2017","41.43333","11.56667",".",".",".",".",".",".",".","16.49",".",".","11.49","8","8.54",".",".",".",".",".",".",".","15.49",".","30"
"afar","ayisaeta","november","2018","41.43333","11.56667",".","40",".",".",".",".",".","18.97",".",".","11.49","6.48","8.24",".",".",".",".",".",".",".","16.49",".","38.99"
"afar","ayisaeta","december","2013","41.43333","11.56667",".",".",".",".",".","12",".","10",".",".",".","8.65","4.78",".",".",".",".",".","10",".","11.49",".","."
"afar","ayisaeta","december","2014","41.43333","11.56667",".",".",".",".","10",".",".","11.32",".",".","9.32","5","5.47",".",".",".",".",".",".",".","11",".","."
"afar","ayisaeta","december","2015","41.43333","11.56667",".",".",".",".",".",".","13","16",".",".","10.66","5.83","6.78",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","december","2016","41.43333","11.56667",".",".",".",".",".",".",".",".",".",".","10.32","6.32",".",".",".",".",".",".",".",".",".",".","."
"afar","ayisaeta","december","2017","41.43333","11.56667",".",".",".",".","12.49",".",".","15.49",".",".","11.49","8","9.22",".",".",".",".",".",".",".","14.49",".","30.98"
"afar","ayisaeta","december","2018","41.43333","11.56667",".","40",".",".",".",".","15","18.97",".",".","12","6","9.1",".",".",".",".",".",".",".","16",".","40"
"afar","dubti","january","2014","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","6","4.38",".",".",".",".",".",".",".","10",".","."
"afar","dubti","january","2015","41.08260323","11.72765333",".","35",".",".",".",".",".","10",".",".",".","5.83","4.57",".",".",".",".",".",".",".","10",".","."
"afar","dubti","january","2016","41.08260323","11.72765333",".","40",".",".","10","10",".","12",".",".","7.27","6","2.8",".",".",".",".",".",".","10","12",".","."
"afar","dubti","january","2017","41.08260323","11.72765333",".",".",".",".",".",".",".",".",".",".","6","6",".",".",".",".",".",".",".",".",".",".","."
"afar","dubti","february","2014","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","6.16","4.38",".",".",".","12",".",".",".","10",".","."
"afar","dubti","february","2015","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","6.65","4.67",".",".",".",".",".",".",".","10",".","."
"afar","dubti","february","2016","41.08260323","11.72765333",".","40",".",".",".","10",".","11.32",".",".","8","6","4.67",".",".",".",".",".",".",".","12",".","."
"afar","dubti","february","2017","41.08260323","11.72765333",".",".",".",".",".",".",".",".",".",".","8","6",".",".",".",".",".",".",".",".",".",".","."
"afar","dubti","march","2015","41.08260323","11.72765333",".","32.86",".",".",".",".",".","10",".",".",".","6","4.67",".",".",".",".",".",".",".","10",".","."
"afar","dubti","march","2016","41.08260323","11.72765333",".","40",".",".","12.32",".",".","14",".",".","10","6.95","4.89",".",".",".",".",".",".",".","14",".","."
"afar","dubti","march","2017","41.08260323","11.72765333",".",".",".",".",".",".",".",".",".",".","7","7",".",".",".",".",".",".",".",".",".",".","."
"afar","dubti","april","2014","41.08260323","11.72765333",".","31.83",".",".",".",".",".","8.32",".",".",".","6","4.34",".",".",".",".",".",".",".","9.32",".","."
"afar","dubti","april","2016","41.08260323","11.72765333",".",".",".",".",".","13","12","14.66",".",".","8","6","3.02",".",".",".",".",".",".",".","14",".","."
"afar","dubti","april","2017","41.08260323","11.72765333",".","30",".",".",".","12",".","13",".",".","8","6","5.6",".",".",".",".",".",".",".","14",".","."
"afar","dubti","may","2014","41.08260323","11.72765333",".",".",".",".",".","9",".","9",".",".","7.48","6","4.21",".",".",".",".",".",".",".","9.65",".","."
"afar","dubti","may","2015","41.08260323","11.72765333",".",".",".",".",".",".",".","11",".",".",".","6","4.47",".",".",".",".",".",".",".","12",".","."
"afar","dubti","may","2016","41.08260323","11.72765333",".","40",".",".","12","13",".","14",".",".","8","6","3.02",".",".",".",".",".",".",".","14.66",".","."
"afar","dubti","may","2017","41.08260323","11.72765333",".","30",".",".","12","11.49",".","13",".",".","8","6.48","5.6",".",".",".",".",".",".",".","14",".","."
"afar","dubti","june","2014","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","4.93","5","30",".",".",".",".",".",".","11.32",".","."
"afar","dubti","june","2015","41.08260323","11.72765333",".","50",".",".",".",".","10","11.32",".",".","8.94","5.31","4.67",".",".",".",".",".",".","10",".",".","."
"afar","dubti","june","2016","41.08260323","11.72765333",".",".",".",".","12","12.66",".","14",".",".","8","6","5.6",".",".",".",".",".",".",".","14",".","."
"afar","dubti","june","2017","41.08260323","11.72765333",".","30",".",".","12","11.49",".","13",".",".","8","6.48","5.6",".",".",".",".",".",".",".","14",".","."
"afar","dubti","july","2013","41.08260323","11.72765333",".",".",".",".",".",".",".","9",".",".",".","6","4.38",".",".",".",".",".",".",".",".",".","."
"afar","dubti","july","2014","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","5","7",".",".",".",".",".",".",".",".",".","."
"afar","dubti","july","2015","41.08260323","11.72765333",".","54.77",".",".",".",".","10","11.49",".",".","10","7","3.69",".",".",".",".",".",".","12",".",".","."
"afar","dubti","july","2016","41.08260323","11.72765333",".",".",".",".",".",".",".",".",".",".","8.16","6",".",".",".",".",".",".",".",".",".",".","."
"afar","dubti","july","2017","41.08260323","11.72765333",".","30",".",".","12","12",".","13",".",".","8","6","7",".",".",".",".",".",".","12","14",".","."
"afar","dubti","august","2013","41.08260323","11.72765333",".","32",".",".",".",".",".","9",".",".",".","6","4.38",".",".",".",".",".",".",".",".",".","."
"afar","dubti","august","2014","41.08260323","11.72765333",".",".",".",".",".",".",".","10",".",".",".","5","7",".",".",".",".",".",".",".",".",".","."
